URL,Title of the Page,Type of Source,PEP Role Referenced,Content Snippet
https://www.gov.za/government/central-bank-official/lesetja-kganyago,Lesetja Kganyago - Official Central Bank Official Profile,Government,Central Bank Official,"Lesetja Kganyago serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/mayor/athol-trollip,Athol Trollip - Official Mayor Profile,News,Mayor,"Athol Trollip serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/political-party-leader/floyd-shivambu,Floyd Shivambu appointed as Political Party Leader,News,Political Party Leader,"Floyd Shivambu serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/lindiwe-sisulu-biography,Interview with Lindiwe Sisulu,Government,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.judiciary.org.za/news/mandisa-maya-70442,Mandisa Maya speaks on government policy,Government,Judge,"Mandisa Maya serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.resbank.co.za/politics/rashad-cassim-biography,Profile of Rashad Cassim - Central Bank Official,Government,Central Bank Official,"Rashad Cassim serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/politics/mogoeng-mogoeng-biography,Mogoeng Mogoeng - Judge responsibilities,News,Judge,"Mogoeng Mogoeng serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/profile/john-steenhuisen-6628,John Steenhuisen - Political Party Leader responsibilities,News,Political Party Leader,"John Steenhuisen serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.health.gov.za/profile/bheki-cele-4250,Bheki Cele addresses parliament,Government,Minister,"Bheki Cele serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/aaron-motsoaledi,Aaron Motsoaledi addresses parliament,Government,Minister,"Aaron Motsoaledi serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/military-officer/seymour-goosen,Seymour Goosen speaks on government policy,News,Military Officer,"Seymour Goosen serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/politics/athol-trollip-biography,Athol Trollip - Official Mayor Profile,News,Mayor,"Athol Trollip serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.westerncape.gov.za/article/943540/supra-mahumapelo,Supra Mahumapelo addresses parliament,Other,Premier,"Supra Mahumapelo serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/profile/helen-zille-3136,Helen Zille speaks on government policy,News,Premier,"Helen Zille serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/news/bheki-cele-70716,Profile of Bheki Cele - Minister,Government,Minister,"Bheki Cele serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/government/ambassador/ebrahim-rasool,Ebrahim Rasool speaks on government policy,Government,Ambassador,"Ebrahim Rasool serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/seymour-goosen-biography,Profile of Seymour Goosen - Military Officer,Government,Military Officer,"Seymour Goosen serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.westerncape.gov.za/news/helen-zille-23799,Helen Zille - Official Premier Profile,Other,Premier,"Helen Zille serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/government/political-party-leader/john-steenhuisen,"Biography: John Steenhuisen, Political Party Leader",News,Political Party Leader,"John Steenhuisen serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/person/lindiwe-sisulu,Lindiwe Sisulu speaks on government policy,News,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/lesetja-kganyago-6257,Profile of Lesetja Kganyago - Central Bank Official,Government,Central Bank Official,"Lesetja Kganyago serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/news/mogoeng-mogoeng-84552,Mogoeng Mogoeng addresses parliament,Government,Judge,"Mogoeng Mogoeng serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.joburg.org.za/article/501324/herman-mashaba,"Biography: Herman Mashaba, Mayor",Other,Mayor,"Herman Mashaba serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/politics/kuben-naidoo-biography,Kuben Naidoo - Official Central Bank Official Profile,News,Central Bank Official,"Kuben Naidoo serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/lesetja-kganyago,Lesetja Kganyago - Central Bank Official responsibilities,Government,Central Bank Official,"Lesetja Kganyago serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/president/david-mabuza,Interview with David Mabuza,News,President,"David Mabuza serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.dirco.gov.za/profile/bheki-cele-6352,Bheki Cele addresses parliament,Government,Minister,"Bheki Cele serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/news/john-steenhuisen-75191,John Steenhuisen addresses parliament,News,Political Party Leader,"John Steenhuisen serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/david-mabuza,Profile of David Mabuza - President,Government,President,"David Mabuza serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/news/david-mabuza-51806,David Mabuza appointed as President,News,President,"David Mabuza serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.effonline.org/news/julius-malema-28002,Profile of Julius Malema - Political Party Leader,Political Party,Political Party Leader,"Julius Malema serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/government/political-party-leader/helen-zille,Profile of Helen Zille - Political Party Leader,News,Political Party Leader,"Helen Zille serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/profile/helen-zille-4524,Helen Zille - Premier responsibilities,News,Premier,"Helen Zille serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.presidency.gov.za/person/cyril-ramaphosa,Profile of Cyril Ramaphosa - President,Government,President,"Cyril Ramaphosa serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/mayor/athol-trollip-1,Athol Trollip appointed as Mayor,News,Mayor,"Athol Trollip serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/news/cyril-ramaphosa-54698,Cyril Ramaphosa appointed as President,Government,President,"Cyril Ramaphosa serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/mogoeng-mogoeng-biography,Mogoeng Mogoeng addresses parliament,Government,Judge,"Mogoeng Mogoeng serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/news/lindiwe-sisulu-96458,Lindiwe Sisulu appointed as Ambassador,News,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.effonline.org/government/political-party-leader/julius-malema,Julius Malema appointed as Political Party Leader,Political Party,Political Party Leader,"Julius Malema serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/david-mabuza-8514,"Biography: David Mabuza, President",Government,President,"David Mabuza serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.westerncape.gov.za/news/phumulo-masualle-89109,Phumulo Masualle - Official Premier Profile,Other,Premier,"Phumulo Masualle serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.treasury.gov.za/profile/naledi-pandor-6738,Naledi Pandor - Official Minister Profile,Government,Minister,"Naledi Pandor serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.saps.gov.za/person/enoch-godongwana,Enoch Godongwana speaks on government policy,Government,Minister,"Enoch Godongwana serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/news/rashad-cassim-90224,"Biography: Rashad Cassim, Central Bank Official",News,Central Bank Official,"Rashad Cassim serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.joburg.org.za/profile/solly-msimanga-6559,Solly Msimanga speaks on government policy,Other,Mayor,"Solly Msimanga serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/person/athol-trollip,Athol Trollip appointed as Mayor,News,Mayor,"Athol Trollip serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/politics/rashad-cassim-biography,"Biography: Rashad Cassim, Central Bank Official",News,Central Bank Official,"Rashad Cassim serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/government/political-party-leader/floyd-shivambu-1,"Biography: Floyd Shivambu, Political Party Leader",News,Political Party Leader,"Floyd Shivambu serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.effonline.org/politics/floyd-shivambu-biography,Floyd Shivambu speaks on government policy,Political Party,Political Party Leader,"Floyd Shivambu serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/david-mabuza-1,David Mabuza speaks on government policy,Government,President,"David Mabuza serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.joburg.org.za/politics/herman-mashaba-biography,"Biography: Herman Mashaba, Mayor",Other,Mayor,"Herman Mashaba serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/solly-shoke-4729,Profile of Solly Shoke - Military Officer,Government,Military Officer,"Solly Shoke serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.presidency.gov.za/profile/paul-mashatile-5227,Profile of Paul Mashatile - President,Government,President,"Paul Mashatile serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/lindiwe-sisulu-8822,Profile of Lindiwe Sisulu - Ambassador,Government,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/article/659983/solly-shoke,Solly Shoke addresses parliament,News,Military Officer,"Solly Shoke serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/article/471984/mandisa-maya,"Biography: Mandisa Maya, Judge",Government,Judge,"Mandisa Maya serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/article/421726/solly-msimanga,Solly Msimanga appointed as Mayor,News,Mayor,"Solly Msimanga serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/politics/john-steenhuisen-biography,John Steenhuisen - Official Political Party Leader Profile,News,Political Party Leader,"John Steenhuisen serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.westerncape.gov.za/government/premier/helen-zille,Helen Zille speaks on government policy,Other,Premier,"Helen Zille serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/government/political-party-leader/julius-malema,Profile of Julius Malema - Political Party Leader,News,Political Party Leader,"Julius Malema serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/person/john-steenhuisen,John Steenhuisen appointed as Political Party Leader,News,Political Party Leader,"John Steenhuisen serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.sandf.mil.za/government/military-officer/rudzani-maphwanya,Rudzani Maphwanya appointed as Military Officer,Other,Military Officer,"Rudzani Maphwanya serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/news/lesetja-kganyago-72788,Lesetja Kganyago - Official Central Bank Official Profile,News,Central Bank Official,"Lesetja Kganyago serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/news/mandisa-maya-81925,Interview with Mandisa Maya,Government,Judge,"Mandisa Maya serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/news/lindiwe-sisulu-13459,Profile of Lindiwe Sisulu - Ambassador,Government,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.presidency.gov.za/government/president/paul-mashatile,Paul Mashatile addresses parliament,Government,President,"Paul Mashatile serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/person/mmusi-maimane,Mmusi Maimane - Political Party Leader responsibilities,News,Political Party Leader,"Mmusi Maimane serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/government/military-officer/seymour-goosen,Interview with Seymour Goosen,Government,Military Officer,"Seymour Goosen serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/government/political-party-leader/mbuyiseni-ndlozi,Mbuyiseni Ndlozi appointed as Political Party Leader,News,Political Party Leader,"Mbuyiseni Ndlozi serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/cyril-ramaphosa-biography,Cyril Ramaphosa addresses parliament,Government,President,"Cyril Ramaphosa serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/kuben-naidoo-biography,Kuben Naidoo speaks on government policy,Government,Central Bank Official,"Kuben Naidoo serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/rashad-cassim-1,Rashad Cassim - Central Bank Official responsibilities,Government,Central Bank Official,"Rashad Cassim serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/profile/rudzani-maphwanya-9168,"Biography: Rudzani Maphwanya, Military Officer",News,Military Officer,"Rudzani Maphwanya serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.saps.gov.za/profile/enoch-godongwana-2673,Interview with Enoch Godongwana,Government,Minister,"Enoch Godongwana serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/news/john-steenhuisen-28368,Interview with John Steenhuisen,News,Political Party Leader,"John Steenhuisen serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/government/ambassador/clayson-monyela,Clayson Monyela - Official Ambassador Profile,Government,Ambassador,"Clayson Monyela serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/ebrahim-rasool-5148,Ebrahim Rasool addresses parliament,Government,Ambassador,"Ebrahim Rasool serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.health.gov.za/government/minister/naledi-pandor,Naledi Pandor - Official Minister Profile,Government,Minister,"Naledi Pandor serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/profile/rashad-cassim-9257,"Biography: Rashad Cassim, Central Bank Official",News,Central Bank Official,"Rashad Cassim serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/lindiwe-sisulu-biography-1,Lindiwe Sisulu addresses parliament,Government,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/profile/seymour-goosen-6025,Seymour Goosen addresses parliament,News,Military Officer,"Seymour Goosen serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/profile/david-mabuza-4349,Interview with David Mabuza,News,President,"David Mabuza serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.iol.co.za/article/887519/phumulo-masualle,Interview with Phumulo Masualle,News,Premier,"Phumulo Masualle serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/stella-ndabeni-abrahams-biography,Stella Ndabeni-Abrahams appointed as Minister,Government,Minister,"Stella Ndabeni-Abrahams serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/enoch-godongwana-4042,Enoch Godongwana addresses parliament,Government,Minister,"Enoch Godongwana serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/article/678305/helen-zille,Helen Zille appointed as Political Party Leader,News,Political Party Leader,"Helen Zille serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.judiciary.org.za/government/judge/raymond-zondo,Interview with Raymond Zondo,Government,Judge,"Raymond Zondo serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.joburg.org.za/article/907021/herman-mashaba,Herman Mashaba - Official Mayor Profile,Other,Mayor,"Herman Mashaba serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.mg.co.za/news/helen-zille-61345,Profile of Helen Zille - Political Party Leader,News,Political Party Leader,"Helen Zille serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/mandisa-maya-8649,Mandisa Maya - Judge responsibilities,Government,Judge,"Mandisa Maya serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/article/279753/rudzani-maphwanya,Rudzani Maphwanya addresses parliament,News,Military Officer,"Rudzani Maphwanya serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.tshwane.gov.za/government/mayor/herman-mashaba,Herman Mashaba - Mayor responsibilities,Other,Mayor,"Herman Mashaba serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.resbank.co.za/politics/kuben-naidoo-biography-1,Kuben Naidoo speaks on government policy,Government,Central Bank Official,"Kuben Naidoo serves as Central Bank Official in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/politics/enoch-godongwana-biography,Interview with Enoch Godongwana,Government,Minister,"Enoch Godongwana serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.effonline.org/politics/julius-malema-biography,Julius Malema speaks on government policy,Political Party,Political Party Leader,"Julius Malema serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.health.gov.za/politics/enoch-godongwana-biography,Profile of Enoch Godongwana - Minister,Government,Minister,"Enoch Godongwana serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.presidency.gov.za/politics/cyril-ramaphosa-biography,Cyril Ramaphosa addresses parliament,Government,President,"Cyril Ramaphosa serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.presidency.gov.za/profile/cyril-ramaphosa-8439,Cyril Ramaphosa addresses parliament,Government,President,"Cyril Ramaphosa serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/supra-mahumapelo,Interview with Supra Mahumapelo,Government,Premier,"Supra Mahumapelo serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.westerncape.gov.za/article/413329/supra-mahumapelo,Profile of Supra Mahumapelo - Premier,Other,Premier,"Supra Mahumapelo serves as Premier in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.tshwane.gov.za/person/athol-trollip,Athol Trollip - Official Mayor Profile,Other,Mayor,"Athol Trollip serves as Mayor in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.treasury.gov.za/news/enoch-godongwana-79998,Enoch Godongwana - Official Minister Profile,Government,Minister,"Enoch Godongwana serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.health.gov.za/politics/bheki-cele-biography,"Biography: Bheki Cele, Minister",Government,Minister,"Bheki Cele serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.treasury.gov.za/person/naledi-pandor,Profile of Naledi Pandor - Minister,Government,Minister,"Naledi Pandor serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/politics/floyd-shivambu-biography,Profile of Floyd Shivambu - Political Party Leader,News,Political Party Leader,"Floyd Shivambu serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/mogoeng-mogoeng-7109,Mogoeng Mogoeng speaks on government policy,Government,Judge,"Mogoeng Mogoeng serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/article/786345/mogoeng-mogoeng,Mogoeng Mogoeng addresses parliament,Government,Judge,"Mogoeng Mogoeng serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.health.gov.za/profile/stella-ndabeni-abrahams-9488,Stella Ndabeni-Abrahams speaks on government policy,Government,Minister,"Stella Ndabeni-Abrahams serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.judiciary.org.za/government/judge/mandisa-maya,Mandisa Maya speaks on government policy,Government,Judge,"Mandisa Maya serves as Judge in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.effonline.org/article/324868/floyd-shivambu,Floyd Shivambu - Official Political Party Leader Profile,Political Party,Political Party Leader,"Floyd Shivambu serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.dirco.gov.za/politics/lindiwe-sisulu-biography,Lindiwe Sisulu - Ambassador responsibilities,Government,Ambassador,"Lindiwe Sisulu serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.dirco.gov.za/government/ambassador/ebrahim-rasool,Profile of Ebrahim Rasool - Ambassador,Government,Ambassador,"Ebrahim Rasool serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/profile/stella-ndabeni-abrahams-5916,Stella Ndabeni-Abrahams speaks on government policy,Government,Minister,"Stella Ndabeni-Abrahams serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/news/rudzani-maphwanya-76356,"Biography: Rudzani Maphwanya, Military Officer",News,Military Officer,"Rudzani Maphwanya serves as Military Officer in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.health.gov.za/article/453360/bheki-cele,Interview with Bheki Cele,Government,Minister,"Bheki Cele serves as Minister in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/news/julius-malema-51349,"Biography: Julius Malema, Political Party Leader",News,Political Party Leader,"Julius Malema serves as Political Party Leader in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.gov.za/person/ebrahim-rasool,Interview with Ebrahim Rasool,Government,Ambassador,"Ebrahim Rasool serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.news24.com/profile/paul-mashatile-6995,Paul Mashatile - Official President Profile,News,President,"Paul Mashatile serves as President in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
https://www.timeslive.co.za/profile/ebrahim-rasool-3481,Profile of Ebrahim Rasool - Ambassador,News,Ambassador,"Ebrahim Rasool serves as Ambassador in the South African government. This page contains detailed information about their political career, responsibilities, and public statements."
